77.65,6.140064835548401,0.7327898550724637,0.9987819732034104,0.5329457364341085,0.68828125,0.6622313203684749,0.9179978700745474,0.6394230769230769,0.8392694063926941,0.9227761485826002,0.9203980099502488,0.809,0.82,0.825,0.881,0.647,0.862,0.133,0.919,0.944,0.925
80.71,5.539725244045258,0.7705544933078394,1.0,0.6467619848612279,0.7615658362989324,0.610752688172043,0.943796394485684,0.6899441340782123,0.8660968660968661,0.9530612244897959,0.8983855650522318,0.806,0.859,0.769,0.856,0.852,0.89,0.247,0.912,0.934,0.946
81.92,5.030110388994217,0.8403547671840355,0.9966480446927374,0.8436619718309859,0.7660668380462725,0.7850821744627055,0.9159420289855073,0.46864899806076277,0.9190031152647975,0.9625,0.9184466019417475,0.758,0.892,0.599,0.894,0.621,0.948,0.725,0.885,0.924,0.946
83.37,4.947416394948959,0.8208154506437768,1.0,0.7262118491921006,0.6652482269503546,0.7312734082397003,0.9285714285714286,0.7133550488599348,0.8967181467181468,0.9650924024640657,0.9563409563409564,0.765,0.868,0.809,0.938,0.781,0.949,0.438,0.929,0.94,0.92
84.73,4.481807917356491,0.8017492711370262,0.9936170212765958,0.7884816753926701,0.8408644400785854,0.6322400558269365,0.9323529411764706,0.7096247960848288,0.9048543689320389,0.9653414882772681,0.9520897043832823,0.825,0.934,0.753,0.856,0.906,0.951,0.435,0.932,0.947,0.934
84.43,4.631028980016708,0.8255933952528379,1.0,0.7740667976424361,0.7393364928909952,0.7464387464387464,0.9726603575184016,0.7006211180124223,0.8830570902394107,0.9566968781470292,0.8816793893129771,0.8,0.811,0.788,0.936,0.786,0.925,0.564,0.959,0.95,0.924
84.78,4.498151659965515,0.8361522198731501,0.9964328180737217,0.7811860940695297,0.8430799220272904,0.6744890234670704,0.9563894523326572,0.695322376738306,0.9230769230769231,0.9685598377281948,0.8514234875444839,0.791,0.838,0.764,0.865,0.891,0.943,0.55,0.924,0.955,0.957
85.35,4.398319184780121,0.806829268292683,0.9978260869565218,0.8578745198463509,0.7957931638913234,0.6694277108433735,0.975635593220339,0.6947890818858561,0.8810612991765783,0.9692937563971341,0.9461928934010152,0.827,0.918,0.67,0.908,0.889,0.921,0.56,0.963,0.947,0.932
84.9,4.416718661785126,0.8459893048128342,0.9987484355444305,0.7334494773519163,0.8604651162790697,0.7174280879864636,0.9650924024640657,0.7164750957854407,0.9277833500501504,0.9536489151873767,0.820186598812553,0.791,0.798,0.842,0.851,0.848,0.94,0.561,0.925,0.967,0.967
86.19,4.114472985267639,0.7905468025949953,0.9988826815642458,0.7549194991055456,0.8191780821917808,0.7677356656948494,0.9739311783107404,0.7382920110192838,0.9110047846889953,0.9554896142433235,0.9137104506232023,0.853,0.894,0.844,0.897,0.79,0.934,0.536,0.952,0.966,0.953
